rank,contact_week,risk_band,licencenumber,businessname,businesstype,localarea,numberofemployees,risk_score
1,1,high,24-239342,BELLA GELATERIA GLOBAL INC.,Restaurant,Downtown,8.0,0.781
2,1,high,24-251784,TGI FOODS CORP.,Retail Dealer - Food,Downtown,3.0,0.771
3,1,high,24-267018,1485877 BC Ltd,Retail Dealer - Food,Downtown,4.0,0.759
4,1,high,24-130232,The Nut Merchant Ltd,Food Manufacturer Assembler and Processor,Sunset,2.0,0.715
5,1,high,24-243829,1158456 B.C. LTD.,Retail Dealer - Food,Sunset,2.0,0.703
6,1,high,24-259029,(Sharleen Khurana),Retail Dealer - Food,Sunset,1.0,0.661
7,1,high,24-243303,MUME TEA & WARE LTD.,Retail Dealer - Food,Mount Pleasant,2.0,0.621
8,1,high,24-186839,1399737 B.C. LTD.,Restaurant,Downtown,15.0,0.62
9,1,high,24-148035,Simon Fraser University,Restaurant,Downtown,10.0,0.613
10,1,high,24-148666,K & OH Holdings Ltd,Restaurant,Downtown,10.0,0.613
11,2,high,24-232669,1321643 B.C. LTD.,Limited Service Food Establishment,Renfrew-Collingwood,3.0,0.591
12,2,high,24-229243,ROTI WALA FACTORY LTD.,Limited Service Food Establishment,Renfrew-Collingwood,3.0,0.591
13,2,high,24-228766,3377 Bubble Tea House Ltd,Limited Service Food Establishment,Renfrew-Collingwood,3.0,0.591
14,2,high,24-160653,OHM JONG RUAY MEAL INC.,Food Manufacturer Assembler and Processor,Grandview-Woodland,4.0,0.588
15,2,high,24-251798,1485116 B.C. LTD.,Retail Dealer - Food,Kensington-Cedar Cottage,2.0,0.585
16,2,high,24-243817,MODERN PEROGIE PEROGIES LTD.,Food Manufacturer Assembler and Processor,Grandview-Woodland,2.0,0.582
17,2,high,24-149257,H&M Top Notch Food Services And Catering Ltd,Restaurant,West End,6.0,0.569
18,2,high,24-243404,BLEND BISTRO CORP.,Restaurant,Mount Pleasant,8.0,0.56
19,2,high,24-229762,FuQiao Food Ltd,Limited Service Food Establishment,Kitsilano,0.0,0.557
20,2,high,24-216754,1443442 B.C. LTD.,Restaurant,West End,15.0,0.54
21,3,high,24-149504,Sushi Bar Maumi Inc,Restaurant,West End,2.0,0.537
22,3,high,24-148978,Cross The Road Restaurants Ltd,Restaurant,Downtown,30.0,0.534
23,3,high,24-149033,Academic Public House Enterprises Ltd,Restaurant,Downtown,30.0,0.534
24,3,high,24-252724,8 Corners Canada Inc.,Limited Service Food Establishment,Downtown,3.0,0.531
25,3,high,24-261924,(Shawn Ryan),Food Manufacturer Assembler and Processor,Grandview-Woodland,1.0,0.529
26,3,high,24-292754,LA PORTE DE L'ESPOIR PASTRY LTD.,Food Manufacturer Assembler and Processor,Grandview-Woodland,1.0,0.529
27,3,high,24-264689,LUMIERE COFFEE NO.2 LTD.,Limited Service Food Establishment,Kitsilano,10.0,0.52
28,3,high,24-290706,CAFFE ARTIGIANO INC,Restaurant,Mount Pleasant,10.0,0.519
29,3,high,24-148601,Kosoo Restaurant Ltd,Restaurant,West End,13.0,0.514
30,3,high,24-148368,Stock Room Enterprises Ltd,Restaurant,Downtown,25.0,0.513
31,4,medium,24-270508,1422508 B.C. LTD.,Retail Dealer - Food,South Cambie,3.0,0.512
32,4,medium,24-250929,ATHLETIC FUEL INC.,Retail Dealer - Food,Grandview-Woodland,1.0,0.512
33,4,medium,24-275484,(Evelina Edwardsson),Food Manufacturer Assembler and Processor,Kensington-Cedar Cottage,1.0,0.507
34,4,medium,24-252781,1477948 B.C. LTD.,Retail Dealer - Food,Marpole,4.0,0.506
35,4,medium,24-149453,Marutama Food Services Ltd,Restaurant,Fairview,16.0,0.504
