licencenumber,businessname,businesstype,localarea,status,failed,numberofemployees,issueddate,expireddate,feepaid,folderyear,postalcode
24-153971,Qi Botanical Tea (Canada) Ltd,Wholesale Dealer - Food,Marpole,Issued,0,15.0,2024-02-05T18:17:41+00:00,2024-12-31,,24,V6P 6G2
24-153972,Kitskitchen Health Foods Inc,Wholesale Dealer - Food,Mount Pleasant,Issued,0,1.0,2023-11-23T20:58:30+00:00,2024-12-31,,24,
24-153974,Waterman's Marketing Inc,Wholesale Dealer - Food,Renfrew-Collingwood,Issued,0,10.0,2023-11-23T19:25:48+00:00,2024-12-31,,24,V5M 3G9
24-153977,607920 BC Ltd,Wholesale Dealer - Food,Strathcona,Issued,0,50.0,2023-11-24T19:56:19+00:00,2024-12-31,,24,V6A 3M9
24-153980,Tak-Fung Trading Inc,Wholesale Dealer - Food,Strathcona,Issued,0,2.0,2023-11-24T15:50:44+00:00,2024-12-31,,24,V6A 1G8
24-153982,Benny Foods Ltd,Wholesale Dealer - Food,Strathcona,Issued,0,4.0,2023-12-29T21:19:41+00:00,2024-12-31,,24,V6A 2B8
24-153983,Can-Am Produce & Trading Ltd,Wholesale Dealer - Food,Strathcona,Issued,0,27.0,2023-12-14T21:38:07+00:00,2024-12-31,,24,V6A 2K7
24-153985,480412 B C Ltd,Wholesale Dealer - Food,Strathcona,Issued,0,85.0,2024-01-19T23:16:44+00:00,2024-12-31,,24,V6A 3V7
24-153986,Yick Sun Trading (Vancouver) Co Ltd,Wholesale Dealer - Food,Sunset,Issued,0,10.0,2023-12-07T19:02:39+00:00,2024-12-31,,24,V5X 4K4
24-153987,(Franca Berardi),Wholesale Dealer - Food,Grandview-Woodland,Issued,0,16.0,2023-12-31T23:17:08+00:00,2024-12-31,,24,V5L 1H6
24-153988,(Ruth Huberman),Wholesale Dealer - Food,Oakridge,Issued,0,1.0,2023-11-23T23:15:54+00:00,2024-12-31,,24,
24-153990,JJ Bean Inc,Wholesale Dealer - Food,Grandview-Woodland,Issued,0,25.0,2023-12-11T20:18:02+00:00,2024-12-31,,24,V5L 1J3
24-153991,Jim M Koo Produce Ltd,Wholesale Dealer - Food,Strathcona,Issued,0,35.0,2023-12-04T23:38:58+00:00,2024-12-31,,24,V5L 3J3
24-153993,Macdonald Poultry & Meat Supplies Ltd,Wholesale Dealer - Food,Strathcona,Issued,0,10.0,2023-12-14T17:52:20+00:00,2024-12-31,,24,V6A 1S6
24-153995,Newstar Enterprises International Ltd,Wholesale Dealer - Food,Marpole,Issued,0,3.0,2023-11-27T18:19:02+00:00,2024-12-31,,24,
24-153996,Nikka Traders Inc,Wholesale Dealer - Food,Marpole,Issued,0,8.0,2023-12-15T21:48:31+00:00,2024-12-31,,24,V6P 6R5
24-154000,Terminal Fruit & Produce Ltd,Wholesale Dealer - Food,Strathcona,Issued,0,95.0,2023-12-05T23:51:06+00:00,2024-12-31,,24,V6A 2K2
24-154003,Winken Trading Corp,Wholesale Dealer - Food,Grandview-Woodland,Issued,0,10.0,2024-01-29T22:58:51+00:00,2024-12-31,,24,V5L 2G9
24-154004,Yamato Trading Co Ltd,Wholesale Dealer - Food,Strathcona,Issued,0,11.0,2023-11-23T19:37:01+00:00,2024-12-31,,24,V6A 2H2
24-154005,Glico Canada Corp,Wholesale Dealer - Food,Downtown,Issued,0,6.0,2024-03-20T16:14:08+00:00,2024-12-31,,24,V6E 2K3
24-154008,Hallmark Poultry Processors Ltd,Wholesale Dealer - Food,Grandview-Woodland,Issued,0,500.0,2023-11-23T19:46:10+00:00,2024-12-31,,24,V5L 1M1
24-154009,Chung Hing Co Ltd,Wholesale Dealer - Food,Sunset,Issued,0,20.0,2023-12-19T22:02:53+00:00,2024-12-31,,24,V5X 3Y1
24-154010,Kim Chau Delicatessen Ltd,Wholesale Dealer - Food,Kensington-Cedar Cottage,Issued,0,19.0,2023-12-01T19:15:14+00:00,2024-12-31,,24,V5V 3E3
24-154011,H & G Tan Enterprises Inc,Wholesale Dealer - Food,Marpole,Issued,0,2.0,2023-11-23T17:32:15+00:00,2024-12-31,,24,V6P 6R9
24-154012,North-West Seafood Ltd,Wholesale Dealer - Food,Marpole,Issued,0,5.0,2023-11-28T23:15:22+00:00,2024-12-31,,24,V5X 3E8
24-154013,Pacin Enterprises Inc,Wholesale Dealer - Food,Strathcona,Issued,0,9.0,2023-12-06T23:07:55+00:00,2024-12-31,,24,V6A 3M9
24-154022,Double Happiness Foods (2007) Ltd,Wholesale Dealer - Food,Strathcona,Issued,0,30.0,2023-11-21T18:41:06+00:00,2024-12-31,,24,V6A 1G7
24-154024,CMR Trading BC Ltd,Wholesale Dealer - Food,Renfrew-Collingwood,Issued,0,1.0,2023-12-18T19:23:00+00:00,2024-12-31,,24,
24-154030,Acme Import & Export Ltd,Wholesale Dealer - Food,Kerrisdale,Issued,0,1955.0,2023-12-28T03:44:41+00:00,2024-12-31,,24,
24-154031,Fresh Direct Produce Ltd,Wholesale Dealer - Food,Strathcona,Issued,0,100.0,2023-12-08T18:27:41+00:00,2024-12-31,,24,V6A 2K6
24-154036,Organic Ocean Seafood Inc,Wholesale Dealer - Food,Kitsilano,Issued,0,17.0,2023-12-05T23:15:26+00:00,2024-12-31,,24,
24-154038,Waisee Trading Co Ltd,Wholesale Dealer - Food,Strathcona,Issued,0,8.0,2023-11-23T18:49:25+00:00,2024-12-31,,24,V6A 1P8
24-154042,Sysco Fine Meats Vancouver Inc,Wholesale Dealer - Food,Strathcona,Issued,0,60.0,2024-01-26T18:15:25+00:00,2024-12-31,,24,V6A 2K2
24-154045,Super Harvest Trading Ltd,Wholesale Dealer - Food,Renfrew-Collingwood,Issued,0,3.0,2024-02-05T13:31:34+00:00,2024-12-31,,24,
24-154046,Smartbite Snacks Inc,Wholesale Dealer - Food,Mount Pleasant,Issued,0,2.0,2023-11-29T00:33:26+00:00,2024-12-31,,24,
24-154048,Westport Distribution Inc,Wholesale Dealer - Food,Grandview-Woodland,Issued,0,20.0,2023-11-23T19:32:58+00:00,2024-12-31,,24,V5L 1P8
24-154052,Naked Coconuts Inc,Wholesale Dealer - Food,Kensington-Cedar Cottage,Issued,0,1.0,2023-12-06T19:34:09+00:00,2024-12-31,,24,
24-154055,New World Imports Ltd,Wholesale Dealer - Food,Sunset,Issued,0,18.0,2023-12-18T16:56:50+00:00,2024-12-31,,24,V5X 4V6
24-154068,Young Quach Asian Foods Ltd,Wholesale Dealer - Food,Sunset,Issued,0,8.0,2023-11-23T19:27:30+00:00,2024-12-31,,24,V5X 4K6
24-154070,Kenwest Produce Ltd,Wholesale Dealer - Food,Downtown,Issued,0,1.0,2023-12-28T19:18:00+00:00,2024-12-31,,24,V6Z 1N9
24-154074,Exotic Orchard Produce Ltd,Wholesale Dealer - Food,Grandview-Woodland,Issued,0,0.0,2023-12-08T06:49:09+00:00,2024-12-31,,24,
24-154080,Domenica Fiore Corporation,Wholesale Dealer - Food,Downtown,Issued,0,3.0,2023-12-22T22:39:43+00:00,2024-12-31,,24,V7X 1J1
24-154085,Coldfish Seafoods Company Inc,Wholesale Dealer - Food,Victoria-Fraserview,Issued,0,11.0,2023-11-23T20:15:14+00:00,2024-12-31,,24,V5P 2S7
24-154090,AFIC Exim (Canada) Corp,Wholesale Dealer - Food,Downtown,Issued,0,2.0,2023-12-01T22:03:50+00:00,2024-12-31,,24,
24-154093,Lyft Commodity Trading Ltd,Wholesale Dealer - Food,Downtown,Issued,0,16.0,2024-01-10T00:32:46+00:00,2024-12-31,,24,V6E 2R1
24-154111,Waterman's Online Club INC,Wholesale Dealer - Food,Renfrew-Collingwood,Issued,0,2.0,2023-11-23T22:14:12+00:00,2024-12-31,,24,V5M 3G9
24-154112,Asiana Trading Ltd,Wholesale Dealer - Food,Downtown,Issued,0,2.0,2023-11-23T22:33:06+00:00,2024-12-31,,24,V6C 1G8
24-154115,1061563 BC Ltd,Wholesale Dealer - Food,Strathcona,Issued,0,15.0,2023-11-25T00:16:29+00:00,2024-12-31,,24,V6A 1H5
24-154129,Healthy Hippo Naturals Inc,Wholesale Dealer - Food,West End,Issued,0,3.0,2024-03-04T17:22:29+00:00,2024-12-31,,24,V6E 2Y3
24-154133,Ultimate Cup of Coffee Ltd,Wholesale Dealer - Food,Hastings-Sunrise,Issued,0,4.0,2024-03-06T17:19:46+00:00,2024-12-31,,24,V5M 3Y7
24-161010,TallGrass Natural Health Ltd,Wholesale Dealer - Food,Fairview,Issued,0,35.0,2023-12-21T17:16:32+00:00,2024-12-31,,24,V5Z 4J7
24-185954,Lekiu Distributors Ltd,Wholesale Dealer - Food,Sunset,Issued,0,30.0,2024-02-06T16:45:12+00:00,2024-12-31,,24,V5X 4M2
24-189709,Jordi Pamblanco Esteve (Jordi Esteve),Wholesale Dealer - Food,South Cambie,Issued,0,1.0,2024-02-15T17:21:34+00:00,2024-12-31,,24,
24-192983,ZAZUBEAN ORGANIC CHOCOLATES LTD.,Wholesale Dealer - Food,Fairview,Pending,0,1.0,,,,24,V6J 1R1
24-201154,(Pablo Gonzalez),Wholesale Dealer - Food,Marpole,Issued,0,2.0,2024-06-21T20:51:20+00:00,2024-12-31,321.0,24,V6P 5Z3
24-154228,A Bosa & Co Ltd,Wholesale Dealer - Food,Hastings-Sunrise,Issued,0,89.0,2023-11-23T18:54:38+00:00,2024-12-31,,24,V5K 4Y3
24-223254,A Bosa & Co Ltd,Retail Dealer - Food,Hastings-Sunrise,Issued,0,89.0,2023-11-23T18:54:38+00:00,2024-12-31,,24,V5K 4Y3
24-223960,NOMAD EARTH LTD,Limited Service Food Establishment,Kitsilano,Pending,0,9.0,,,66.0,24,V6K 1V7
24-224472,Simone Rasmussen & Luba Reichert,Retail Dealer - Food,Marpole,Issued,0,2.0,2024-09-24T15:55:58+00:00,2024-12-31,297.0,24,V5X 0C3
24-224575,BIGBOY'S AND CHIGS RESTAURANT CORPORATION,Restaurant,Hastings-Sunrise,Pending,0,10.0,,,70.0,24,V5K 1Y8
24-225364,Sake Maki Japanese Restaurant Ltd,Restaurant,Kensington-Cedar Cottage,Inactive,0,5.0,,,,24,V5V 4E4
